date,supermarket,category,actual_prices,forecasted_prices,min_expected_price,max_expected_price
2024-04-09,ASDA,food_cupboard,2.0441125954198474,2.129108476259449,1.9809027657325513,2.2773141867863473
2024-04-10,ASDA,food_cupboard,2.218044428259286,2.1286638358941357,1.9804569120702722,2.2768707597179993
2024-04-11,ASDA,food_cupboard,2.2612986348122863,2.1290074067437974,1.9807997585188062,2.2772150549687886
2024-04-12,ASDA,food_cupboard,2.068126279863481,2.1287419316813745,1.9805338509502526,2.2769500124124966
2024-04-13,ASDA,food_cupboard,2.2278500881834216,2.128947062613867,1.9807387236530982,2.277155401574636
2024-03-25,ASDA,health_products,6.774112446157334,7.044464220981882,6.604038343738153,7.484890098225612
2024-03-26,ASDA,health_products,6.634536954585931,7.044464220981882,6.599865358089736,7.489063083874028
2024-03-27,ASDA,health_products,7.000050146259924,7.044464220981882,6.595731177375697,7.493197264588067
2024-03-28,ASDA,health_products,6.698702104097452,7.044464220981882,6.591634738766832,7.497293703196933
2024-03-29,ASDA,health_products,6.709891122278057,7.044464220981882,6.587575027082276,7.501353414881488
2024-03-30,ASDA,health_products,7.431580115401686,7.044464220981882,6.583551071851471,7.505377370112293
2024-03-31,ASDA,health_products,6.620259067357513,7.044464220981882,6.579561944605015,7.50936649735875
2024-04-01,ASDA,health_products,6.64611320754717,7.044464220981882,6.575606756372995,7.513321685590769
2024-04-02,ASDA,health_products,7.186327327979163,7.044464220981882,6.571684655371698,7.517243786592067
2024-04-03,ASDA,health_products,6.611055652607936,7.044464220981882,6.5677948248616405,7.521133617102124
2024-04-04,ASDA,health_products,7.335177058440148,7.044464220981882,6.563936481161676,7.5249919608020885
2024-04-05,ASDA,health_products,7.224303999999999,7.044464220981882,6.560108871805477,7.528819570158287
2024-04-06,ASDA,health_products,6.779268077601411,7.044464220981882,6.556311273828147,7.5326171681356175
2024-04-07,ASDA,health_products,7.034169520547945,7.044464220981882,6.552542992171864,7.536385449791901
2024-04-08,ASDA,health_products,6.717843537414966,7.044464220981882,6.548803358200646,7.540125083763118
2024-04-09,ASDA,health_products,7.070814419225634,7.044464220981882,6.5450917283152155,7.543836713648549
2024-04-10,ASDA,health_products,6.981376045794804,7.044464220981882,6.541407482659851,7.547520959303913
2024-04-11,ASDA,health_products,6.9652345132743365,7.044464220981882,6.537750023913869,7.551178418049895
2024-04-12,ASDA,health_products,6.886950339995879,7.044464220981882,6.53411877616106,7.554809665802704
2024-04-13,ASDA,health_products,7.2627643596509035,7.044464220981882,6.530513183831023,7.558415258132741
2024-03-25,ASDA,fresh_food,2.978240813135262,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-03-26,ASDA,fresh_food,3.0815666108586464,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-03-27,ASDA,fresh_food,3.102236612702366,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-03-28,ASDA,fresh_food,2.8803595080416273,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-03-29,ASDA,fresh_food,3.001346346346346,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-03-30,ASDA,fresh_food,3.3538619445071056,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-03-31,ASDA,fresh_food,3.0245487894350696,3.0015625441719007,2.6406887508746815,3.36243633746912
